**READY_TO_SCORE** — stamped 2026-08-11 (Analyst, osint-loop-v1 iter 1)

| Gate | Verdict | Evidence |
|---|---|---|
| Contract frozen / scoring path | PASS | `state/engagements/osint-loop-research/contract.json` (`osint-loop-v1`, `scorer: checks`, `checks_runner: lib/osint-loop-checks.sh`); `BENCHMARK-CONTRACT.md` (7 dims ≥ 9.0) |
| Isolated workspace ≠ source | PASS | `workspace.json` + `runs/check-20260811T042409Z-3955817/workspace.json`: `path` = `…/tmp/workspaces/osint-loop-research`, `source_repo` = `/home/logani/projects/osint-loop-research` |
| Deterministic checks 14/14 @ 9.5 | PASS | `runs/check-20260811T042409Z-3955817/checks.json` and `runs/.checks-latest.json`: **14/14** `status: pass`; all 7 dims **9.5**; **overall 9.5** |

**Dimension → check map (file-backed):**

| Dimension | Score | Checks (all pass) | Workspace paths |
|---|---|---|---|
| cli-runnable | 9.5 | cli-module-help, cli-flags-parse | `loops/__main__.py`, `loops/main_loop.py` (`--target`/`--resume`/`--max-iterations`) |
| cold-run | 9.5 | cold-run-exits-zero, cold-run-target-generic | `loops/main_loop.py` (dossier/summary from store for active target) |
| resume-semantics | 9.5 | resume-refuse-at-max, resume-continue-raised-max | `loops/main_loop.py` L94–115 (`sys.exit(2)` vs continue when max raised) |
| termination-fidelity | 9.5 | termination-artifact, termination-matches-engine, readme-stop-aligned | `loops/termination_engine.py`, `README.md` Stopping Criteria |
| evidence-integrity | 9.5 | evidence-persist-upgrade, evidence-provenance-fields | `loops/evidence_store.py` (`update`/`persist`), `loops/verification_loop.py` |
| output-inspectability | 9.5 | output-inspectable | contract expects `output/dossier.md`, `evidence_summary.md`, `termination.json` |
| boundedness | 9.5 | boundedness-honored, no-unbounded-mission | `while self.iteration < self.max_iterations`; no unbounded-mission language in workspace |

Checks run provenance: `operation: "checks"`, `allow_dirty_reason: "osint-loop-v1 iter-1 implementation in isolated workspace"`, SHA `e7d433e9…`.
